0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:56 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:57 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:57 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:57 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:57 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:57 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:58 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:58 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:58 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:58 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:06:58 -0300] "GET /alarmeAndroid/Teste2.jsf HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:08:16 -0300] "GET /alarmeAndroid2/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:08:16 -0300] "GET /alarmeAndroid2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:08:17 -0300] "GET /alarmeAndroid2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:08:17 -0300] "GET /alarmeAndroid2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:08:17 -0300] "GET /alarmeAndroid2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:08:22 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:08 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:08 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:09 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:09 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:09 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:09 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:13 -0300] "GET /alarmeAndroid/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:10:16 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:38 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:41 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:42 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:42 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:42 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:42 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:42 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:42 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:43 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:43 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:43 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:11:43 -0300] "GET /alarmeAndroid2/Teste.jsf HTTP/1.1" 200 111
